Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1664736130.643352,114,68420,0,GPS1_Frame,42.33990666666667,-71.08953849999999,41.3,327869.7864426604,4689631.313648991,19,T
1664736131.6423564,115,68520,0,GPS1_Frame,42.339907333333336,-71.08952966666668,41.4,327870.5159570375,4689631.369794891,19,T
1664736132.6409428,116,68620,0,GPS1_Frame,42.339907666666676,-71.08952483333334,41.2,327870.91503946576,4689631.397024366,19,T
1664736133.6426547,117,68720,0,GPS1_Frame,42.339909999999996,-71.08952333333333,41.2,327871.04497741733,4689631.653086747,19,T
1664736134.6389346,118,68820,0,GPS1_Frame,42.339913333333335,-71.08951216666667,41.1,327871.97398971405,4689632.000622318,19,T
1664736135.6416535,119,68920,0,GPS1_Frame,42.339915999999995,-71.0895025,40.9,327872.77761190897,4689632.277166307,19,T
1664736136.6423829,120,69020,0,GPS1_Frame,42.33991616666667,-71.08949299999999,40.9,327873.56068218115,4689632.276441714,19,T
1664736137.6403546,121,69120,0,GPS1_Frame,42.33992166666667,-71.08948016666666,40.5,327874.63290736696,4689632.86119559,19,T
1664736138.639007,122,69220,0,GPS1_Frame,42.339922166666675,-71.08946883333333,40.3,327875.56791816384,4689632.893774021,19,T
1664736139.6429954,123,69320,0,GPS1_Frame,42.339932,-71.08946166666666,40.3,327876.18514410115,4689633.971183359,19,T
1664736140.6400712,124,69420,0,GPS1_Frame,42.33993566666666,-71.08945133333333,40.2,327877.0464149001,4689634.357420688,19,T
1664736141.6404607,125,69520,0,GPS1_Frame,42.3399405,-71.08944249999999,40.2,327877.78729819506,4689634.876244118,19,T
1664736142.643391,126,69620,0,GPS1_Frame,42.339943999999996,-71.08943433333334,40.0,327878.4696228454,4689635.248360601,19,T
1664736143.642513,127,69720,0,GPS1_Frame,42.33995033333334,-71.08942233333333,39.4,327879.47547054826,4689635.927337492,19,T
1664736144.6461213,128,69820,0,GPS1_Frame,42.339945166666666,-71.08942266666666,41.8,327879.43391253444,4689635.354293049,19,T
1664736145.641125,129,69920,0,GPS1_Frame,42.33994216666667,-71.08942383333333,44.0,327879.3296160629,4689635.023527464,19,T
1664736146.645024,130,70020,0,GPS1_Frame,42.33994316666667,-71.08942383333333,45.3,327879.3323446778,4689635.134569893,19,T
1664736147.640554,131,70120,0,GPS1_Frame,42.339942333333326,-71.08942699999999,46.4,327879.06919911277,4689635.048444868,19,T
1664736148.6460643,132,70220,0,GPS1_Frame,42.33994566666667,-71.08942383333333,46.6,327879.33916621516,4689635.412175963,19,T
1664736149.6457186,133,70320,0,GPS1_Frame,42.339950833333326,-71.0894145,46.3,327880.1221490196,4689635.967001617,19,T
1664736150.642105,134,70420,0,GPS1_Frame,42.339957999999996,-71.08940783333334,45.9,327880.6909074895,4689636.749310339,19,T
1664736151.6443043,135,70520,0,GPS1_Frame,42.33997383333334,-71.08940233333333,44.9,327881.1872030071,4689638.4963484965,19,T
1664736152.6373727,136,70620,0,GPS1_Frame,42.33998583333334,-71.08939483333333,44.1,327881.83779971383,4689639.813675465,19,T
1664736153.6411815,137,70720,0,GPS1_Frame,42.339996166666666,-71.08938883333333,43.4,327882.36027786817,4689640.948968194,19,T
1664736154.6435084,138,70820,0,GPS1_Frame,42.340006499999994,-71.08937816666666,42.8,327883.26719800616,4689642.074814354,19,T
1664736155.6434329,139,70920,0,GPS1_Frame,42.34002133333333,-71.089371,42.1,327883.8980647775,4689643.707436471,19,T
1664736156.6438982,140,71020,0,GPS1_Frame,42.340035500000006,-71.08935633333334,40.9,327885.1449654085,4689645.250848458,19,T
1664736157.6443236,141,71120,0,GPS1_Frame,42.34004633333334,-71.08934433333334,40.1,327886.1630893793,4689646.429517187,19,T
1664736158.639981,142,71220,0,GPS1_Frame,42.34005650000001,-71.08933366666666,39.7,327887.06955349323,4689647.536856739,19,T
1664736159.644174,143,71320,0,GPS1_Frame,42.340067166666664,-71.08932383333334,38.8,327887.90873125475,4689648.701404463,19,T
1664736160.640212,144,71420,0,GPS1_Frame,42.34007816666667,-71.08931633333333,38.1,327888.5565973895,4689649.907689581,19,T
1664736161.6428573,145,71520,0,GPS1_Frame,42.34008666666667,-71.08930633333333,37.7,327889.4035930198,4689650.831308173,19,T
1664736162.6426842,146,71620,0,GPS1_Frame,42.34009616666667,-71.08929516666667,37.3,327890.3494272831,4689651.863607735,19,T
1664736163.638946,147,71720,0,GPS1_Frame,42.340104000000004,-71.08928466666666,37.2,327891.2357936529,4689652.712186158,19,T
1664736164.637308,148,71820,0,GPS1_Frame,42.34011066666667,-71.089275,36.9,327892.05032637535,4689653.4329019915,19,T
1664736165.6346982,149,71920,0,GPS1_Frame,42.34011716666667,-71.08927050000001,36.9,327892.43877257453,4689654.145569028,19,T
1664736166.641662,150,72020,0,GPS1_Frame,42.34012166666666,-71.08926,36.8,327893.3160437123,4689654.624006266,19,T
1664736167.6410658,151,72120,0,GPS1_Frame,42.34012083333334,-71.0892485,36.8,327894.2611435859,4689654.508193172,19,T
1664736168.6405551,152,72220,0,GPS1_Frame,42.34012516666667,-71.08924316666666,37.2,327894.7123282456,4689654.978581606,19,T
1664736169.6420002,153,72320,0,GPS1_Frame,42.34012383333334,-71.089233,37.2,327895.5462234892,4689654.809946325,19,T
1664736170.643174,154,72420,0,GPS1_Frame,42.340127,-71.08922183333334,37.2,327896.4747766984,4689655.138977957,19,T
1664736171.6415486,155,72520,0,GPS1_Frame,42.34012800000001,-71.08920499999999,36.8,327897.8642400908,4689655.215947845,19,T
1664736172.6402032,156,72620,0,GPS1_Frame,42.34013366666667,-71.08919599999999,36.5,327898.621123301,4689655.82697139,19,T
1664736173.6404274,157,72720,0,GPS1_Frame,42.340140000000005,-71.0891835,36.5,327899.66815624514,4689656.504939008,19,T
1664736174.6404505,158,72820,0,GPS1_Frame,42.34014383333333,-71.08917416666667,36.6,327900.44749736704,4689656.9117102595,19,T
1664736175.6420734,159,72920,0,GPS1_Frame,42.340148500000005,-71.08916233333333,36.5,327901.43506264786,4689657.405956799,19,T
1664736176.6412797,160,73020,0,GPS1_Frame,42.340151500000005,-71.08914733333333,36.2,327902.6789515195,4689657.708723268,19,T
1664736177.6414719,161,73120,0,GPS1_Frame,42.340154166666665,-71.08913216666666,35.9,327903.93566090165,4689657.97413847,19,T
1664736178.6436226,162,73220,0,GPS1_Frame,42.34015633333333,-71.08912016666666,35.8,327904.9301352362,4689658.190442078,19,T
1664736179.6411128,163,67380,0,GPS1_Frame,42.34015766666666,-71.0891045,35.4,327906.22439694277,4689658.306789104,19,T
1664736180.6427708,164,67480,0,GPS1_Frame,42.3401665,-71.0890935,35.4,327907.1546788501,4689659.265399892,19,T
1664736181.6368415,165,67580,0,GPS1_Frame,42.34017083333333,-71.0890865,35.1,327907.7431627248,4689659.732415811,19,T
1664736182.6420293,166,67680,0,GPS1_Frame,42.34017600000001,-71.08907766666667,34.9,327908.48495043453,4689660.288256504,19,T
1664736183.6378634,167,67780,0,GPS1_Frame,42.34018283333333,-71.089068,35.3,327909.2999351523,4689661.027481345,19,T
1664736184.6419702,168,67880,0,GPS1_Frame,42.3401815,-71.089062,36.0,327909.7905789721,4689660.867280964,19,T
1664736185.6397383,169,67980,0,GPS1_Frame,42.340181833333325,-71.08905183333333,36.1,327910.6290206738,4689660.8837181805,19,T
1664736186.6415658,170,68080,0,GPS1_Frame,42.34017966666667,-71.089042,36.5,327911.4331819683,4689660.623224073,19,T
1664736187.6396644,171,68180,0,GPS1_Frame,42.340183833333334,-71.08903183333334,37.0,327912.28208145674,4689661.065324131,19,T
1664736188.6398237,172,68280,0,GPS1_Frame,42.34018316666667,-71.0890215,37.3,327913.1315250484,4689660.970381897,19,T
1664736189.6419263,173,68380,0,GPS1_Frame,42.340183333333336,-71.0890145,37.8,327913.70864131174,4689660.974721512,19,T
1664736190.639225,174,68480,0,GPS1_Frame,42.340183333333336,-71.089005,38.2,327914.49125345505,4689660.955494326,19,T
1664736191.643332,175,68580,0,GPS1_Frame,42.340180833333335,-71.0889935,38.2,327915.4318058853,4689660.654613355,19,T
1664736192.6395714,176,68680,0,GPS1_Frame,42.340184833333325,-71.08898300000001,38.4,327916.3077104925,4689661.07753219,19,T
1664736193.638822,177,68780,0,GPS1_Frame,42.340189499999994,-71.08896983333334,38.1,327917.4051142614,4689661.569082415,19,T
1664736194.6402388,178,68880,0,GPS1_Frame,42.34020016666667,-71.0889585,37.8,327918.36785560363,4689662.730597802,19,T
1664736195.6376753,179,68980,0,GPS1_Frame,42.340205,-71.08894683333332,37.7,327919.3421433335,4689663.243691187,19,T
1664736196.6401653,180,69080,0,GPS1_Frame,42.34020950000001,-71.08893333333334,37.8,327920.46655193565,4689663.71606019,19,T
1664736197.640453,181,69180,0,GPS1_Frame,42.34021800000001,-71.0889195,37.7,327921.62933232216,4689664.631924475,19,T
1664736198.642864,182,69280,0,GPS1_Frame,42.340223833333326,-71.08890866666667,37.8,327922.53769734694,4689665.257747242,19,T
1664736199.6440196,183,69380,0,GPS1_Frame,42.340226,-71.0888925,37.5,327923.8754206566,4689665.465620933,19,T
1664736200.642582,184,69480,0,GPS1_Frame,42.340234333333335,-71.08887716666666,36.5,327925.16131587955,4689666.359943013,19,T
1664736201.6402483,185,69580,0,GPS1_Frame,42.34023633333333,-71.08886583333333,36.4,327926.1004134737,4689666.559091691,19,T
1664736202.6431866,186,69680,0,GPS1_Frame,42.340240333333334,-71.08885333333333,36.0,327927.14107695804,4689666.977964297,19,T
1664736203.6359563,187,69780,0,GPS1_Frame,42.34024966666666,-71.08883816666666,35.6,327928.4159693128,4689667.983666678,19,T
1664736204.640532,188,69880,0,GPS1_Frame,42.340258999999996,-71.088824,35.3,327929.6084811748,4689668.991393017,19,T
1664736205.6403372,189,69980,0,GPS1_Frame,42.340270333333336,-71.08880966666668,35.1,327930.8201783718,4689670.2208671225,19,T
1664736206.6420898,190,70080,0,GPS1_Frame,42.340278999999995,-71.08879766666668,34.8,327931.83238075476,4689671.158950266,19,T
1664736207.6401308,191,70180,0,GPS1_Frame,42.34028683333333,-71.08878833333333,34.3,327932.622629466,4689672.009894721,19,T
1664736208.6413805,192,70280,0,GPS1_Frame,42.34029,-71.08877433333333,34.8,327933.7845886977,4689672.333197375,19,T
1664736209.6420717,193,70380,0,GPS1_Frame,42.34029416666667,-71.08876233333334,35.0,327934.7845154194,4689672.771589995,19,T
1664736210.6379945,194,70480,0,GPS1_Frame,42.340292500000004,-71.08875016666666,35.5,327935.78226013127,4689672.561897971,19,T
1664736211.6366959,195,70580,0,GPS1_Frame,42.340287999999994,-71.08873316666667,35.0,327937.1704467311,4689672.027804901,19,T
1664736212.6388147,196,70680,0,GPS1_Frame,42.34029633333333,-71.08872500000001,35.4,327937.8659484428,4689672.936632063,19,T
1664736213.6428766,197,70780,0,GPS1_Frame,42.34029099999999,-71.08871333333333,35.4,327938.81250157964,4689672.320796719,19,T
1664736214.6395445,198,70880,0,GPS1_Frame,42.34028766666667,-71.08869766666666,34.4,327940.09403060586,4689671.91895191,19,T
1664736215.6400552,199,70980,0,GPS1_Frame,42.34029183333334,-71.08868516666666,34.5,327941.1351469838,4689672.356333622,19,T
1664736216.6393685,200,71080,0,GPS1_Frame,42.34030016666667,-71.08867816666665,34.0,327941.7345380482,4689673.26752202,19,T
1664736217.6429632,201,71180,0,GPS1_Frame,42.3403005,-71.08865983333334,33.4,327943.24574856204,4689673.2674371125,19,T
1664736218.6400502,202,71280,0,GPS1_Frame,42.34029950000001,-71.08864816666666,32.8,327944.2041217695,4689673.132786367,19,T
1664736219.6408794,203,71380,0,GPS1_Frame,42.340298,-71.08863,32.2,327945.6966016817,4689672.929461462,19,T
1664736220.6390882,204,71480,0,GPS1_Frame,42.34029666666667,-71.088618,32.7,327946.6815257936,4689672.757122399,19,T
1664736221.6350918,205,71580,0,GPS1_Frame,42.34029816666666,-71.08860416666667,32.5,327947.8252081817,4689672.895693899,19,T
1664736222.6400878,206,71680,0,GPS1_Frame,42.34029916666667,-71.08859133333334,32.8,327948.8851466681,4689672.980767881,19,T
1664736223.6426811,207,71780,0,GPS1_Frame,42.34030299999999,-71.0885805,32.7,327949.78805298754,4689673.384509228,19,T
1664736224.6392155,208,71880,0,GPS1_Frame,42.34030616666667,-71.088568,32.4,327950.82644095557,4689673.710849929,19,T
1664736225.6417286,209,71980,0,GPS1_Frame,42.34031133333333,-71.08855816666666,32.3,327951.65060367115,4689674.264671571,19,T
1664736226.6396525,210,72080,0,GPS1_Frame,42.34030916666667,-71.0885535,33.1,327952.029134355,4689674.01463676,19,T
1664736227.639539,211,72180,0,GPS1_Frame,42.34031,-71.088546,33.3,327952.64925770334,4689674.091996099,19,T
1664736228.6399477,212,72280,0,GPS1_Frame,42.340309,-71.08853683333334,33.6,327953.40168075624,4689673.962405277,19,T
1664736229.6403444,213,72380,0,GPS1_Frame,42.34030966666666,-71.088526,33.9,327954.2959497039,4689674.014512842,19,T
1664736230.6405098,214,72480,0,GPS1_Frame,42.3403135,-71.08851516666667,33.9,327955.19885554176,4689674.4182548765,19,T
1664736231.64018,215,72580,0,GPS1_Frame,42.34031,-71.08850699999999,34.0,327955.8620799517,4689674.0130816875,19,T
1664736232.6364293,216,72680,0,GPS1_Frame,42.34031233333334,-71.08849916666667,34.0,327956.5137543938,4689674.256330534,19,T
1664736233.6401634,217,72780,0,GPS1_Frame,42.340315333333336,-71.08849116666667,34.2,327957.18097707536,4689674.573270489,19,T
1664736234.6397898,218,72880,0,GPS1_Frame,42.340318333333336,-71.08848266666668,34.2,327957.8893897168,4689674.889198806,19,T
1664736235.6394935,219,72980,0,GPS1_Frame,42.34031933333334,-71.08847333333333,34.2,327958.66099754325,4689674.981356173,19,T
1664736236.6403937,220,73080,0,GPS1_Frame,42.340323500000004,-71.0884625,33.7,327959.56481210754,4689675.422112902,19,T
1664736237.638666,221,73180,0,GPS1_Frame,42.34032533333334,-71.0884535,33.8,327960.3112326372,4689675.607480266,19,T
1664736238.6417475,222,73280,0,GPS1_Frame,42.340327499999994,-71.08844483333334,33.8,327961.03110222885,4689675.830536307,19,T
1664736239.6382039,223,67440,0,GPS1_Frame,42.34032933333333,-71.08843966666667,33.9,327961.4617325447,4689676.0236600395,19,T
1664736240.642164,224,67540,0,GPS1_Frame,42.340327333333335,-71.088434,34.4,327961.92309804366,4689675.790109479,19,T
1664736241.6412992,225,67640,0,GPS1_Frame,42.340326166666664,-71.08842716666666,35.1,327962.48284639453,4689675.64673373,19,T
1664736242.639856,226,67740,0,GPS1_Frame,42.34032950000001,-71.088419,35.1,327963.16470775864,4689676.0003511645,19,T
1664736243.636424,227,67840,0,GPS1_Frame,42.34032933333333,-71.08841233333332,35.9,327963.7134534179,4689675.968355163,19,T
1664736244.640824,228,67940,0,GPS1_Frame,42.34032916666667,-71.08840749999999,36.7,327964.1111690203,4689675.940068647,19,T
1664736245.639325,229,68040,0,GPS1_Frame,42.34032950000001,-71.088403,36.9,327964.482788265,4689675.967977812,19,T
1664736246.641156,230,68140,0,GPS1_Frame,42.340328500000005,-71.08839766666667,37.8,327964.91942113836,4689675.84614432,19,T
1664736247.6405537,231,68240,0,GPS1_Frame,42.34032766666666,-71.0883915,38.3,327965.4251586022,4689675.74113183,19,T
1664736248.6384897,232,68340,0,GPS1_Frame,42.34033216666667,-71.08838633333333,38.2,327965.86306153395,4689676.230368971,19,T
